Togo,6642928,3916994097
Tonga,104941,464827013
Trinidad and Tobago,1337439,23224856650
Tunisia,10874915,45131624267
Turkey,73997128,788299145612
Turkmenistan,5172931,33465715901
Turks and Caicos Islands,32427,727915576
Tuvalu,9860,39853208
U.R. of Tanzania: Mainland,46479538,28248629981
Uganda,36345860,21735746414
Ukraine,45529944,176308825964
United Arab Emirates,9205651,383799046971
United Kingdom,62783115,2471600098476
United States,317505266,16244600000000
Uruguay,3395253,49918724605
Uzbekistan,28541423,51413530508
Vanuatu,247262,751632614
Venezuela,29954782,382424454340
Viet Nam,90795769,155820001920
Yemen,23852409,32830583171
Zambia,14075099,21490298880
Zanzibar,1303569,855485544
Zimbabwe,13724317,9802360203
